datetime,buy_order,price_USD,price_native,amount_token,total_native,maker,etherscan_url
2023-04-03 07:07:47,True,0.4009,0.0002257,4147.95,0.9364,0x91...d728,https://etherscan.io/tx/0x716c8067f42329076e1ddd560e5e1ab0367b2bb5624d46f4a3b3396fb0bee00a
2023-04-03 07:07:35,True,0.3965,0.0002233,9115.13,2.03539,0x11...14b1,https://etherscan.io/tx/0xf01d817566e9bf9893b5644e9bf5bf97845ae4e93e4f145309311132b9286aec
2023-04-03 07:07:35,False,0.3933,0.0002214,6370.94,1.41089,0x23...9898,https://etherscan.io/tx/0xcc7c0a03c80de7f18c719200f2973af207ccb0f3e9c7923719089bcc5faebbe3
2023-04-03 07:07:35,False,0.3983,0.0002243,9115.13,2.04463,0x11...c2bf,https://etherscan.io/tx/0x1da26636ad673c3fa2802e32dad925debf3e280b291d246b3f32ee5a1c9e39ce
2023-04-03 06:08:47,False,0.402,0.0002262,1014.1,0.2293,0x7a...fd89,https://etherscan.io/tx/0x0570f3b23085b3c441b0f72e0bdb5a16633340b27d02924a34246b000dd2ac38
2023-04-03 05:59:35,True,0.4049,0.0002277,131.075,0.0298,0x32...d24d,https://etherscan.io/tx/0x191e348365e461495125be7f08228a563ac065e4cd5b3c1fc8b56c62d0692a70
2023-04-03 05:12:23,True,0.4039,0.0002276,220.506,0.0502,0x1d...e508,https://etherscan.io/tx/0xe7f3955055e1af5884a4bd4e16300e9530245e2e69e597a0f8598e6e70d2cece
2023-04-03 05:10:23,True,0.4038,0.0002275,217.778,0.0495,0x70...9ded,https://etherscan.io/tx/0x59a95188c219ed367357144964715a80b3f4157075e3355ee3ff5cf05e6b8360
2023-04-03 05:03:59,False,0.4018,0.0002263,800.063,0.181,0x21...aee8,https://etherscan.io/tx/0xfc2fbc32ed8b2e44cdd994bcc4cc8d814597955c954b6d318d7f694e50e99e62
2023-04-03 04:59:35,True,0.4036,0.0002273,2590.7,0.589,0x12...91e2,https://etherscan.io/tx/0x7b69a8c18603928e7edc7f820f84a1addc1ea284906affb5871c20b881d9cca3
2023-04-03 04:48:59,True,0.4029,0.0002268,87.3945,0.0198,0xd0...e38a,https://etherscan.io/tx/0x9b503d88c3afaf0a16e8f61d6d0e7c3e70a06e3e5480be70e91f93176656e9df
2023-04-03 04:38:35,True,0.4025,0.0002267,369.143,0.0837,0xb0...bb17,https://etherscan.io/tx/0x719ed6697df36e90fb06c9f8710304fcb5134ab28c01defd96c43d53e01234aa
2023-04-03 04:34:35,True,0.4019,0.0002265,985.643,0.2232,0xb9...4d0c,https://etherscan.io/tx/0xd6a66970689782ea335d1cad2841d51fe51b66ef537facafaf94f461a700a4d8
2023-04-03 04:31:23,True,0.4015,0.0002262,369.492,0.0836,0xd7...202a,https://etherscan.io/tx/0x8985925de7f59f8cfa1e686b04017320d8cc79a10c25e9dfe885b44618e4ad88
2023-04-03 04:29:35,True,0.4015,0.0002261,284.938,0.0644,0xd3...c037,https://etherscan.io/tx/0x060a5d5f02be1bffe340a26afd08017ddea155c7cea1d984182df871450b406e
2023-04-03 04:25:35,True,0.4008,0.0002258,1186.55,0.2679,0x26...6b20,https://etherscan.io/tx/0xe11be9142d0318283182293ee3c23059f66a13a62d88d3fbd3c9c7d310fbc31a
2023-04-03 04:24:47,True,0.4004,0.0002256,52.7227,0.0119,0xd3...c037,https://etherscan.io/tx/0x6a3bdf92c3520cb1973cf67b51343e3ef5b692b50b0f4d8d9988ff492600a175
2023-04-03 04:15:59,True,0.4001,0.0002255,418.456,0.0943,0x4e...002f,https://etherscan.io/tx/0x4cfe77c87a9d233ee79aef7b8be9c1c9020e8892baa0299f7388b1c0d977d125
2023-04-03 03:45:35,False,0.3972,0.0002247,3458.9,0.7773,0xfa...aa5e,https://etherscan.io/tx/0x504edcfada36552e7f9795d3ff9cd1686669023c3f3395f9151a02eed5fef0a9
2023-04-03 03:44:47,True,0.4008,0.0002267,264.672,0.06,0xde...7f88,https://etherscan.io/tx/0x91d4bdd48781c1db15acb0d955132adba7b2d31c1aaf91e310cca68a8a84ec68
2023-04-03 03:44:11,False,0.3997,0.000226,5039.81,1.13938,0xcc...437d,https://etherscan.io/tx/0x3dbff6d434eba274c7188d82ab3f27e014c1954262b2ca82db7f3158ab31c9e1
2023-04-03 03:23:23,True,0.4084,0.0002284,329.289,0.0752,0xa6...8c82,https://etherscan.io/tx/0xac7a6210dddcdf22b61c55a5de030f17a2884f91c773dc70d8c3fbac91d3f758
2023-04-03 02:57:35,False,0.4069,0.0002273,1489.0,0.3385,0xe5...72f3,https://etherscan.io/tx/0xbd6d417d496712409f354ddcd11b7573382759a0db21b3d1fb05919df7822a36
2023-04-03 02:39:35,False,0.407,0.0002276,223.195,0.0508,0xcd...58d3,https://etherscan.io/tx/0x0d0620ce6d39cf3010346cde018f5b30d6591a6fb6c568cf465d222b9cafda79
2023-04-03 02:25:35,True,0.4104,0.000229,305.888,0.07,0xf4...301d,https://etherscan.io/tx/0x33233dc69442b233a9fb59dddc5c2ab79616677b6ccb55e7d5762980a2b71310
2023-04-03 02:01:11,True,0.4107,0.0002289,194.848,0.0446,0x36...3dde,https://etherscan.io/tx/0x21ae023a36b810dc0f2ebd1c5e26b7af8656f8953d84553dd0788656c5495c42
2023-04-03 02:00:35,True,0.4104,0.0002288,488.652,0.1118,0xaf...815e,https://etherscan.io/tx/0xed67543e178972fbb4ee12b21bd3889be542742fd0166301055eaa351a328705
2023-04-03 01:47:23,True,0.41,0.0002286,483.007,0.1104,0x6b...5b52,https://etherscan.io/tx/0x75dad169f5d5035f8e2dc2d9da6104d45d169aefe5d424aff27e0b52c9c95770
2023-04-03 01:45:11,True,0.4097,0.0002284,216.925,0.0495,0x22...a0dd,https://etherscan.io/tx/0x6e54e3aa84e77607b1e1eaaeb1515d5c7d270dd5a87fde987ba5f58ad2944b13
2023-04-03 01:43:23,True,0.4086,0.0002278,3067.03,0.6988,0x91...d728,https://etherscan.io/tx/0x9148e300e577e086683de69d7d8b4a30815aabc8ab2205be95e69efda08dfe5a
2023-04-03 01:30:35,False,0.4055,0.0002262,1856.25,0.4199,0xae...7e65,https://etherscan.io/tx/0x85f2379c03dd2eaff6a5c20e8350da343233766e0ab2a0ea01b645c311e69006
2023-04-03 01:06:59,True,0.4086,0.0002279,243.544,0.0555,0xa6...b24e,https://etherscan.io/tx/0xdce50f240f78a0a06abf3cf2a9c33672f23ec1c94d66eba7467aa38fbb905170
2023-04-03 01:04:47,False,0.4063,0.0002265,57.9257,0.0131,0x91...fff4,https://etherscan.io/tx/0xe63562f7c15c0963b060ce8e6faf4cc67132ffd6b8b847cc0537602c3d7e9951
2023-04-03 00:50:11,True,0.4061,0.0002272,3403.05,0.7733,0x2a...06a6,https://etherscan.io/tx/0x0a2fc94f6863f9aa94f89a5d7d73f7d103ae6e2e5ab4ffbc29c206e627aab827
2023-04-03 00:48:59,False,0.403,0.0002257,2500.0,0.5643,0xa2...ddc6,https://etherscan.io/tx/0x85ea81fdea82a6349adf0cc6962eec21220fa1b5965140d191088fbce438bb10
2023-04-03 00:34:35,False,0.4042,0.0002265,1657.46,0.3754,0xae...7e65,https://etherscan.io/tx/0xcc60635177a618ffc72f37e55fec7b8151d621cba2602d92262249c47ae70462
2023-04-03 00:22:47,False,0.4036,0.0002268,59.5095,0.0135,0xf3...963e,https://etherscan.io/tx/0x4be0bd86df7e6fa5af98bf3a9f8de7ef118d1e03e35faa78e354c029533aaefd
2023-04-02 23:45:47,True,0.4083,0.0002281,306.818,0.07,0xec...d622,https://etherscan.io/tx/0xf70be7f98630d4c89b16cacd02dbfd4dd7db66f429862d34cffd0f19484a2930
2023-04-02 23:04:59,True,0.4079,0.000228,152.125,0.0346,0x14...9b25,https://etherscan.io/tx/0x6b735d41bf61a89c1c1df6d6b79a599278727e8946b06f4737c88dd4f8759ddc
2023-04-02 21:49:47,True,0.406,0.0002279,244.659,0.0557,0x8d...cb7c,https://etherscan.io/tx/0xb04be15051f1ed329bfa82e04f8d8fd93974628b1694e69c3e1cc284bf27f623
2023-04-02 19:53:23,True,0.4102,0.0002276,1709.49,0.3891,0x61...4582,https://etherscan.io/tx/0x98d99eb2aaee701997ea60cead3085817ac32f95c702e87eb9acd2edb884df9f
2023-04-02 19:08:11,False,0.4058,0.0002259,222.0,0.0501,0xf1...e8fd,https://etherscan.io/tx/0x931e83444ca6b400da5f08f62e9f8aa6b182ea4fc5410dcda05344224e73d5bb
2023-04-02 17:45:11,True,0.4081,0.0002273,191.84,0.0436,0x19...a814,https://etherscan.io/tx/0x573f8057a4933d4245510ca0a8b6d933d9a72b398f7342a375d24965af8c70eb
2023-04-02 17:39:23,True,0.407,0.0002266,3583.17,0.812,0xfa...aa5e,https://etherscan.io/tx/0x6038b38dfd362ed09a7015d0e3a518d0718df0dafc3d9e8d163213ef70124124
2023-04-02 17:10:59,False,0.4059,0.0002257,6293.48,1.4209,0xa5...af74,https://etherscan.io/tx/0x99727bcd99c4c48dcc74aaab48082a138583a62dc515e9211910c06c19f3f9fd
2023-04-02 16:53:35,True,0.4142,0.0002282,434.299,0.0991,0x6f...a2c7,https://etherscan.io/tx/0xcd05a88e7c8369cd047b84839ee053edc7e7e51782ddde4d51a61222632a30b9
2023-04-02 15:56:11,True,0.4135,0.0002281,320.235,0.073,0x7f...d2b7,https://etherscan.io/tx/0x2df0dac39306694f41c311ba026568b98a5e5a0227a1ed80482995f886aeef3b
2023-04-02 15:13:47,False,0.4107,0.0002273,3488.97,0.7931,0x2a...06a6,https://etherscan.io/tx/0x25e9a6fd974c37765e65ce62cc2654290efa47a6e0f2ee5f1f92a8fb1387b56e
2023-04-02 14:53:35,False,0.4144,0.0002286,3212.04,0.7343,0xfa...aa5e,https://etherscan.io/tx/0x5421dab293283afc0b0cae9af4ce28ee3a6aea617b49b0658f859b4a24e534bc
