datetime,buy_order,price_USD,price_native,amount_token,total_native,maker,etherscan_url
2023-04-03 07:14:11,True,0.368,0.0002072,6273.68,1.3,0x13...94e4,https://etherscan.io/tx/0xa5f2a728d40d6c9054599bded668ebf55b9e1480e1a4d4417562eef6637cdd77
2023-04-03 07:10:23,True,0.3661,0.0002061,1940.1,0.4,0x77...0f76,https://etherscan.io/tx/0xcde9279bbce6a92a5e46776f67e50995887848584064f5e095ddbd759a5bea26
2023-04-03 07:06:59,True,0.3656,0.0002059,264.956,0.0545,0xfc...97d3,https://etherscan.io/tx/0x829aa7e3e161e14ef87b6a1f27c6ca91bf796b192494334278b58452006cf472
2023-04-03 06:59:23,True,0.3649,0.0002055,2334.97,0.48,0x4c...94ad,https://etherscan.io/tx/0xd630eba3ed294917857c0d9fdd6bf4dda506e3c13dc254561910ce073db17157
2023-04-03 06:58:47,False,0.3623,0.0002041,970.645,0.1981,0x9e...e4f7,https://etherscan.io/tx/0x368c98f6e1a718df2116d7ab7ebf37dd399425112d1e3c4186508fb83400d4d1
2023-04-03 06:54:59,False,0.3657,0.000206,13998.2,2.88431,0x7b...6a0c,https://etherscan.io/tx/0x400e6f4836f0cb01c438feeb6440c2ea9e4c71fc6d76699a7d22edd40e83de2b
2023-04-03 06:28:35,False,0.3689,0.0002078,77.9897,0.0162,0x5b...7888,https://etherscan.io/tx/0x2792066696ab1444b554c5d2290ad0e9d3625f71c494479e7d2a9b779e766d45
2023-04-03 06:28:11,False,0.3698,0.0002083,4306.8,0.8974,0x10...653e,https://etherscan.io/tx/0x8703b23a168568c58572ae4c9be244547e13889bee01bd8e9cf9cee52c037d8c
2023-04-03 06:18:23,True,0.3731,0.00021,904.4,0.19,0xfe...26bc,https://etherscan.io/tx/0x74062f771f86a893e5ab751105745e770e45eb01325266230a00a9a97300e668
2023-04-03 06:14:11,False,0.3712,0.0002088,1317.74,0.2752,0xd9...2450,https://etherscan.io/tx/0xa80e81c953c7a069065be2925e9e5239a075857977816ab15017988a4b59fe03
2023-04-03 06:01:47,True,0.3738,0.0002102,133.565,0.028,0xc3...674b,https://etherscan.io/tx/0x7556716b57a2d529a10aef05270fdd8879714013cf73a9f784aa42861c141a96
2023-04-03 05:49:23,False,0.3716,0.0002091,743.02,0.1553,0x23...3244,https://etherscan.io/tx/0xe2669c361459579f681b8f416253a8e36482623c2cdbc7b10952f9c5844757c3
2023-04-03 05:41:47,False,0.3717,0.0002092,663.416,0.1388,0x9e...7c99,https://etherscan.io/tx/0xe0e92fb78143533368b12a854f5dc8f1d516b01097335950870d0eca6b9b34a3
2023-04-03 04:58:47,True,0.3736,0.0002104,1335.18,0.281,0xe5...2db0,https://etherscan.io/tx/0x86f55c8b038eef4c0d0e9d17bcd8783211fee7a067201e96ce9745ee03c9a181
2023-04-03 04:39:47,True,0.3734,0.0002102,85.6003,0.018,0x30...acf5,https://etherscan.io/tx/0x0d87f14ad3ea64856a11a19fb7ba3f7aad7ccb5231248281b6c6f0ab5da1074a
2023-04-03 04:32:11,False,0.3712,0.0002091,1373.92,0.2874,0xd6...ef96,https://etherscan.io/tx/0xa4fc9c3c0a07e507c01b10a9409c3453bb399c23a3686f1e4e8e7757dee46ffe
2023-04-03 04:32:11,False,0.3738,0.0002106,10073.5,2.12222,0xd6...ef96,https://etherscan.io/tx/0xa4fc9c3c0a07e507c01b10a9409c3453bb399c23a3686f1e4e8e7757dee46ffe
2023-04-03 04:29:47,False,0.3774,0.0002125,4245.81,0.9024,0x48...3c1c,https://etherscan.io/tx/0x9754a6830a4b026cc01bccb3260160d4ea7c9cc2287021c8cc431d206b46c56c
2023-04-03 04:20:23,False,0.3786,0.0002132,1304.43,0.2782,0x04...f9d0,https://etherscan.io/tx/0x359575991b0df03671177a282f0ee5f4958bf67e83bad776229749ba992daa68
2023-04-03 04:12:11,False,0.3799,0.0002142,5645.02,1.20923,0x95...8a52,https://etherscan.io/tx/0x4cc61ee07973040a9eea4eebc1d5b72048c89fb6acfe653d0fdae768997d10dd
2023-04-03 04:07:47,False,0.3814,0.0002153,2512.93,0.541,0xd1...d92d,https://etherscan.io/tx/0x12c20636cf695561a2e3db6100b23e7121c927209504db0410b4f5239e7b0db7
2023-04-03 04:06:11,True,0.384,0.0002169,116.887,0.0253,0x80...44cc,https://etherscan.io/tx/0x9fc7c857ece554d96146b2c97d2ec40cc5d1a04326de32a013e48e4a5187c243
2023-04-03 03:59:47,False,0.3828,0.0002162,4703.02,1.01702,0xf5...dbe7,https://etherscan.io/tx/0xfba5b57456ee09670473b230bb5c47d846d53139a8736691036cec5a9b7552e1
2023-04-03 03:49:59,False,0.3838,0.0002171,1940.12,0.4213,0x1a...8ad0,https://etherscan.io/tx/0x296aa1cf00bf5e618a96f451a75afcacfa8841d461abc210606c5ecf6b459416
2023-04-03 03:48:47,False,0.3838,0.0002174,508.675,0.1106,0x9a...545f,https://etherscan.io/tx/0x615cf0765a27598f3521c96ff6667576d84086fd3fc652a3594f98c4d7696021
2023-04-03 03:45:47,False,0.3856,0.0002181,4365.0,0.9522,0x95...7e9a,https://etherscan.io/tx/0x93b8ec025f95679ffc0cc1aca8d86cf408c2a5a51dcaddd954d1c9b8dc6f71fd
2023-04-03 03:37:11,False,0.3909,0.000219,2339.6,0.5125,0xef...f24c,https://etherscan.io/tx/0x90e86c8cad65fbbe649a98ffb1af1f8adc4a948b67ae36d890b86b0ebf0e85bf
2023-04-03 03:24:35,False,0.3922,0.0002194,185.408,0.0406,0xbd...8d1e,https://etherscan.io/tx/0xe3060f52bed60742de60ea107066099842dc5739de4353438c2081e8fc2eaa75
2023-04-03 03:23:11,False,0.3945,0.0002207,9290.12,2.05077,0xd5...11e1,https://etherscan.io/tx/0xdf33ec621403b1a9f34c9285548d6a8df1e12b830f09124fc31eb64ee86b0dc0
2023-04-03 03:21:35,False,0.3975,0.0002222,1302.52,0.2894,0x46...a333,https://etherscan.io/tx/0x099fba67f73cb63719b5105af70178f3379b4efe9fba5c54ed8b3e89e37807d0
2023-04-03 03:16:23,False,0.3979,0.0002225,920.53,0.2048,0x1a...8ad0,https://etherscan.io/tx/0x3e4384c19efedb11bbdcfa6cc699723cba21a54fc83c49dd76c555ea329ffb92
2023-04-03 03:16:11,True,0.4003,0.0002238,1123.48,0.2515,0x57...0b2b,https://etherscan.io/tx/0xce7b2c49c7c555628db247d53baa06f33f536786eec91487c89c1ff7d3f802e0
2023-04-03 03:15:11,False,0.3976,0.0002223,56.26,0.0125,0x2b...4abf,https://etherscan.io/tx/0x41bd3806466d7aee53ec925a18924eaddc0233391cf2b6782e532c775e5c5fa0
2023-04-03 03:13:35,True,0.4003,0.0002236,192.233,0.043,0x36...5b81,https://etherscan.io/tx/0x6521d4c87c357e7ab916a399998e5aea0baf60545e6adb3966965b48916e9917
2023-04-03 03:12:59,False,0.3982,0.0002225,1302.83,0.2898,0x1f...a9fc,https://etherscan.io/tx/0x67571593bb06a0b18ebc2443b867ae4a567ab640b32380f8572aa4e6fa01c57f
2023-04-03 03:12:59,True,0.4008,0.0002239,745.071,0.1668,0x42...c29d,https://etherscan.io/tx/0xd5463d59a31015f9d1f7547dc7ffd9c38d059415c62cd795f18a713cb3916712
2023-04-03 03:12:23,True,0.4003,0.0002237,745.797,0.1668,0x42...c29d,https://etherscan.io/tx/0xe23ba63c7be6bef3d7ea0e29955a31d8ce05c05912af19589ba2509715a03c12
2023-04-03 03:08:47,False,0.399,0.0002228,3812.67,0.8494,0x38...7c14,https://etherscan.io/tx/0x9b5b3263b583ebe12241674651f33536608c341828202eb77227f97e0fa65471
