name,observations,mean,median,StD,CV,maximum,minimum,skewness,kurtosis,jarque_bera,ADF
AGIX-WETH,3693,0.000273358,0.0002766,2.47E-05,0.090471573,0.0004122,0.0002214,-0.214956918,-0.659456732,95.35773598,-1.708305996
HEX-WETH,14544,5.23E-05,5.01E-05,7.69E-06,0.147158841,0.000117,8.68E-07,0.947621022,0.688888714,2464.305099,-2.123218503
OPTIMUS-WETH,8939,0.000229044,0.0002204,3.57E-05,0.155871711,0.0003336,0.0001507,0.618719522,-0.500013369,663.4483932,-2.778501708
SHIB-WETH,4754,6.07E-10,6.06E-10,1.24E-11,0.020445517,7.42E-10,5.74E-10,0.59032206,2.611417021,1626.941493,-2.876444082
SHIK-WETH,4310,2.36E-13,2.33E-13,4.42E-14,0.187826163,3.74E-13,1.52E-13,0.400999213,-0.406916436,145.2438504,-2.286403617
BabyDoge-WBNB,18441,7.82E-13,7.69E-13,7.39E-14,0.094549107,8.98E-13,6.83E-13,0.263261157,-1.504166007,1951.473587,-1.25790408
FLOKI-WBNB,26364,1.11E-08,1.11E-08,4.37E-10,0.039226739,1.23E-08,1.01E-08,-0.067485946,-1.016968032,1156.106867,-2.474002495
INJ-WBNB,7520,0.013718263,0.01335,0.001436824,0.104738008,0.01887,0.01164,0.870562028,-0.212343937,964.0022491,-1.803422932
MBOX-WBNB,12089,0.001505814,0.00151,2.90E-05,0.019259791,0.001568,0.001433,-0.399063101,-0.585527496,493.5575442,-1.791087255
VOLT-WBNB,18006,4.66E-10,4.50E-10,3.30E-11,0.070963566,5.60E-10,4.35E-10,1.658783505,1.439655509,9812.413854,1.333916513
