name,observations,mean,median,StD,maximum,minimum,skewness,kurtosis,jarque_bera,ADF
AGIX-WETH,5416,-4.85E-05,0,0.0041,0.035,-0.043,-0.21,10.237,23691,-32.7
HEX-WETH,4991,5.61E-05,0.000199481,0.0122,0.261,-0.202,3.85,195.921,7994780,-50.2
OPTIMUS-WETH,4964,2.31E-06,0,0.0113,0.154,-0.081,0.92,18.572,72045,-64.2
SHIB-WETH,5208,-9.09E-07,0,0.0036,0.030,-0.025,0.16,4.276,3989,-33.7
SHIK-WETH,5329,-4.36E-05,0,0.0113,0.142,-0.113,0.14,23.042,117912,-21.2
BabyDoge-WBNB,4594,2.97E-05,0,0.0035,0.058,-0.022,1.40,21.489,89886,-17.5
FLOKI-WBNB,4388,-7.05E-06,0,0.0040,0.024,-0.043,-0.35,5.369,5360,-55.2
INJ-WBNB,5210,4.32E-05,0,0.0043,0.050,-0.030,0.69,9.558,20244,-30.5
MBOX-WBNB,4552,-2.04E-06,0,0.0031,0.021,-0.011,0.17,0.714,118,-31.6
VOLT-WBNB,4715,-3.89E-05,0,0.0037,0.025,-0.041,-0.53,6.064,7445,-30.0
