datetime,buy_order,price_USD,price_native,amount_token,total_native,maker,etherscan_url
2023-03-31 19:34:35,False,3.582e-10,1.959e-13,2865175315632.0,5.61353,0xae...ae13,https://etherscan.io/tx/0x734658f06c90cb49e535bc297eac569c9b65a80636150851823762ef24f5a2ae
2023-03-31 19:34:35,True,3.66e-10,2.001e-13,1554969406524.0,3.11303,0x51...f2cb,https://etherscan.io/tx/0x755468c6761909ab54501adffb9e9c53b8ab4e634af4f0b2dbd6ac180b355744
2023-03-31 19:34:35,True,3.471e-10,1.898e-13,2865175315632.0,5.43878,0xae...ae13,https://etherscan.io/tx/0x46ab2b0aeca049f5f39e7116fd8bea9a04ecf4e70427a5846e0b1031aed90ce1
2023-03-31 19:19:59,True,3.351e-10,1.833e-13,58016664170.0,0.1063,0x74...14ba,https://etherscan.io/tx/0x5ce205d76ba1fcfc9f6ee0e827be38a788cf9dc4b3cf566e12d99ae41f84674c
2023-03-31 19:13:47,True,3.351e-10,1.831e-13,36681362828.0,0.0671,0xee...3b77,https://etherscan.io/tx/0x2c8c11a83673d95b16d0e04f7d2fd30a46ef798fc1d108ca817102d0885fe35b
2023-03-31 18:49:35,False,3.33e-10,1.821e-13,113895972207.0,0.2075,0xd2...1b09,https://etherscan.io/tx/0x5c7c9d9268dbcd915b8562108f974f6833b6bd550960e30232c21cdcbd3387b6
2023-03-31 18:06:11,False,3.361e-10,1.833e-13,409592343912.0,0.7508,0x80...e1cd,https://etherscan.io/tx/0x22f34861ab8ac9fbaba181f12d29def3f3e76b815d0b830921214fa125af0c8c
2023-03-31 18:03:11,False,3.382e-10,1.846e-13,215697723503.0,0.3983,0xe6...c297,https://etherscan.io/tx/0xe80e731d96652bafb9ebc327b3d03c8291ce6c5462e5addfbea3df85d95a312c
2023-03-31 18:01:35,True,3.395e-10,1.856e-13,292890818319.0,0.5436,0xc5...d515,https://etherscan.io/tx/0x29973b442e68484cc786de70c42a647453a9fe4e15e04ecd6d2891059658af54
2023-03-31 18:00:23,True,3.383e-10,1.849e-13,6431245360.0,0.0119,0x36...615c,https://etherscan.io/tx/0x385abe0ddb5005bba0a5652e0a9001059667d525ad7853da84869970f4cdb4f8
2023-03-31 17:59:35,False,3.386e-10,1.85e-13,575818173748.0,1.06576,0xfa...c485,https://etherscan.io/tx/0x8e155fa6092fc2e405d50d4531bf986966e2fc06c3d2caa308b738682e9310d3
2023-03-31 17:53:11,True,3.387e-10,1.851e-13,1031986483958.0,1.91123,0x06...fe96,https://etherscan.io/tx/0xbf28cb6837b7e6370299e4d679d431e9c6d16fb1d0a7c8c7e2865232e2ecf85f
2023-03-31 17:32:59,True,3.333e-10,1.822e-13,335562747409.0,0.6115,0x9d...15dc,https://etherscan.io/tx/0xd760645ae86af677e662f46162d1f61235a98783a627b49596233f1a61b72397
2023-03-31 17:31:59,True,3.316e-10,1.812e-13,149881982804.0,0.2716,0xfe...a2b2,https://etherscan.io/tx/0x61f9a0254944c4578efd4af587eb5d3b3055b12ab1dcd77d29babd70fe5c3c48
2023-03-31 17:30:47,True,3.305e-10,1.805e-13,150412107653.0,0.2716,0xfe...a2b2,https://etherscan.io/tx/0x004543e2303444e568f346c259e1ec79085c0fe119b992fec8eb35bebe1fc154
2023-03-31 17:30:11,True,3.293e-10,1.799e-13,150945051410.0,0.2716,0xfe...a2b2,https://etherscan.io/tx/0xb98b62446a172a84eb1fae54904bc6181eaa6b99277a18042d44827b4f041ee5
2023-03-31 17:29:59,True,3.282e-10,1.793e-13,151469866586.0,0.2716,0xfe...a2b2,https://etherscan.io/tx/0xa04a2d71c59b3609fa44da4476bc0bcef5962e207658ca3c077952f126a7df91
2023-03-31 17:29:35,True,3.27e-10,1.786e-13,152008430551.0,0.2716,0xfe...a2b2,https://etherscan.io/tx/0x333e7ef059fe21c8f80f3350d859bde3df192a9eae16517a6d1827b805f52696
2023-03-31 17:29:11,True,3.259e-10,1.78e-13,152549873416.0,0.2716,0xfe...a2b2,https://etherscan.io/tx/0x13d480f92db673ea17f96fae402f51cea7a48e7da417bb74b086cbfdddc12363
2023-03-31 17:28:59,True,3.247e-10,1.774e-13,153099112487.0,0.2716,0xfe...a2b2,https://etherscan.io/tx/0x050464c39f15254eb2ae83a41bc7d6486a53f2a73b1952562b1c54f2f994f3d1
2023-03-31 17:07:59,False,3.242e-10,1.761e-13,53000000000.0,0.0933,0x89...cca5,https://etherscan.io/tx/0xb2c832ec9053c9ec0ceaf28c47727d412423592a11343a57f69d12910ec5bd54
2023-03-31 16:50:11,True,3.253e-10,1.767e-13,282856597048.0,0.5,0x89...6ccd,https://etherscan.io/tx/0x3dc369caac092b597eb45e5a8ab9fda0cad302b7c1297fd10b81ff5a7aa76868
2023-03-31 16:45:59,False,3.231e-10,1.752e-13,45654100404.0,0.08,0x66...5ff3,https://etherscan.io/tx/0x5a60d1ca48ab7a14e3d76c2adb3e11e6f535204859f75a6045e49920f86fb615
