datetime,buy_order,price_USD,price_native,amount_token,total_native,maker,etherscan_url
2023-04-02 18:10:14,True,1.395e-07,4.45e-10,34874601.0,0.1552,0xe7...4d54,https://bscscan.com/tx/0x32755bf37ca46c16824e4203e99a9110364bb8a3de2a5744abcbf5f6c4fda2b6
2023-04-02 18:08:49,False,1.389e-07,4.429e-10,216093574.0,0.9571,0x6c...ad58,https://bscscan.com/tx/0xd43df50ddd15390a822dab2439d9cea2baa03e20513433283298d94165253269
2023-04-02 18:08:27,False,1.382e-07,4.43e-10,5619872.0,0.0249,0x41...d39e,https://bscscan.com/tx/0xc8a1a831e73c4ca7fef81bb851386b56d234008a19305f0c6e4feed8a916ef53
2023-04-02 18:06:48,True,1.388e-07,4.452e-10,3112826.0,0.0138,0xfd...febb,https://bscscan.com/tx/0x61d9e4deac11c1a4c9dcfba1fc4f844179e765208b1dcce521c77852b3c3f6c7
2023-04-02 18:04:57,False,1.388e-07,4.43e-10,8755938.0,0.0387,0x03...b46f,https://bscscan.com/tx/0xb85829353c8ec1efcb3e65ea9fc3795d0f0cb9412852532e164e16f41e2eaa3e
2023-04-02 17:47:53,False,1.389e-07,4.432e-10,358380722.0,1.58841,0x83...51a9,https://bscscan.com/tx/0x377c4ee25d1c5465ee234e633ed91f500856059017f16d10aa45e3af0a93d226
2023-04-02 17:41:07,True,1.389e-07,4.454e-10,316536376.0,1.41006,0x13...937a,https://bscscan.com/tx/0x4076c3064e77e8edac0875e06f7ffe9445e9086c0fc2a6955c199ea3f59a45ff
2023-04-02 17:35:01,True,1.389e-07,4.452e-10,8244600.0,0.0367,0x2a...47c9,https://bscscan.com/tx/0xd5e4d908675538cebd02c26e6c2f10273f90012532dd56565a8910683bfe76eb
2023-04-02 17:30:20,False,1.382e-07,4.43e-10,43694988.0,0.1936,0x50...d6af,https://bscscan.com/tx/0xbf81a200a4bfd22c171bf0c657abd70a9927b654e471666a787c3259beaf2a8e
2023-04-02 17:20:00,False,1.389e-07,4.431e-10,49861484.0,0.2209,0x6c...97f6,https://bscscan.com/tx/0x01f198263e7153024d73e2c03d7d768923a2f18f0dbce8da872c0df540d01c51
2023-04-02 17:17:39,True,1.396e-07,4.453e-10,2791969.0,0.0124,0x1b...2892,https://bscscan.com/tx/0xa42c1bbd42624c2a6cad2a7ace373d18ed17e055aad888e885b9fd5de12f2f21
2023-04-02 17:15:24,False,1.383e-07,4.432e-10,87091237.0,0.3859,0x1a...f313,https://bscscan.com/tx/0xa191c6827f5c76996ac6645794411ed3575b3b97d110840844454c66d53d0d94
